[exp212] psnr : 34.91413140129284, min: 35.40761301990663, max: 38.870778334058855 
[exp212] psnr : 39.78675024813249, min: 38.18198519806738, max: 41.397292612933335 
[exp214] psnr : 39.77423991966408, min: 38.258298930425376, max: 41.3334641267113 
[exp213] psnr : 39.69354858238864, min: 37.89431656564685, max: 41.166925326025634 
[exp214] psnr : 39.63637344784959, min: 37.845476194134434, max: 41.1801191185024 
[exp215] psnr : 40.081817993418035, min: 38.70619585795949, max: 41.46886638883423 
[exp215] psnr : 40.00512835556604, min: 38.540851037752155, max: 41.180988464691936 
[exp216] psnr : 40.07019494076371, min: 38.568983862098925, max: 41.49742374874427 
[exp217] psnr : 39.5314149230866, min: 37.933998056333024, max: 41.31926178099626 
[exp217] psnr : 39.59178460252667, min: 37.79774871142319, max: 41.445859212428914 
[exp217] psnr : 39.57851450440642, min: 37.831173510209965, max: 41.29587094830476 
[exp216] psnr : 40.09673640250055, min: 38.465846262791544, max: 41.84917190766499 
[exp216] psnr : 40.059317825468504, min: 38.486875625644444, max: 41.22798614129887 
[exp216] psnr : 39.64613141209714, min: 38.2596366863107, max: 41.421897413516426 
[exp216] psnr : 40.19322591726788, min: 38.487856985035506, max: 41.950882629619514 
[exp216] psnr : 39.83849947103598, min: 38.286517626995, max: 41.23083559052117 
[exp215] psnr : 39.921825796355904, min: 38.6276172078244, max: 41.55284401030379 
[exp219] psnr : 40.032521504332315, min: 38.306652371889356, max: 41.806703496950675 
[exp219] psnr : 40.092857223717445, min: 38.28239949316766, max: 41.4664206641888 
[exp220] psnr : 39.87342781861068, min: 38.439992502910094, max: 41.74754291148912 
[exp220] psnr : 39.79232105963795, min: 38.43442440840613, max: 41.330988457055355 
[exp221] psnr : 39.49005228585778, min: 37.96537342199795, max: 41.04942750802369 
[exp222] psnr : 39.575691484949346, min: 37.755768508464044, max: 41.34222628310803 
[exp222] psnr : 39.73212965703157, min: 37.92666353613481, max: 41.133425468338544 
[exp222] psnr : 39.62640861004458, min: 37.82671897046995, max: 41.09005364772443 
[exp224] psnr : 39.65857997150032, min: 37.98209977020548, max: 41.43787538030887 
[exp225] psnr : 39.19006976398866, min: 37.94376375312918, max: 40.98357260344116 
[exp224] psnr : 39.44439264436904, min: 37.94874196080482, max: 41.055724725681856 
[exp224] psnr : 39.093293757992214, min: 38.04188815604884, max: 40.89682972742074 
[exp224] psnr : 39.19683532466167, min: 38.12535040969109, max: 40.66383378057771 
[exp224] psnr : 39.09958363018972, min: 38.145724618764504, max: 40.49330914733765 
[exp226] psnr : 39.3496414945009, min: 38.03364670180501, max: 40.89921606160277 
[exp226] psnr : 39.44799682713731, min: 38.06494954548398, max: 41.18138753057438 
[exp226] psnr : 39.52103663298367, min: 37.909568459081925, max: 41.24749172411548 
[exp226] psnr : 39.373744880805916, min: 37.97557871912042, max: 40.934633214820124 
[exp226] psnr : 39.340766430693854, min: 38.111440232598774, max: 40.92417501731673 
[exp226] psnr : 39.46996879053872, min: 38.21537745081839, max: 41.12348883301391 
[exp226] psnr : 39.49568627601493, min: 38.04083811900209, max: 41.09908806715438 
[exp226] psnr : 39.43696155232074, min: 37.89755389281288, max: 41.04713446852322 
[exp227] psnr : 39.199560946231806, min: 37.98222838064543, max: 40.78289761719145 
